Fund,NAV,YTD return,1Y return,Fund class currency,1 year sharpe ratio,Fund size (USD/Million),HSBC risk level,Morningstar rating
BlackRock World Gold Fund (Class A2),73.28 USD,89.26%,76.92%,USD,1.635,6911.59 (Million USD),5,3
MRF-HSBC Jintrust Dynamic Strategy Mixed Sec Inv FD (Class H DIST CASH),2.7245 CNY,37.15%,74.04%,CNY,1.23,302.22 (Million CNY),5,3
INVESCO Global Consumer Trends Fund (Class A),94.92 USD,23.69%,50.05%,USD,1.493,2312.27 (Million USD),5,3
HSBC GIF - HONG KONG EQUITY (CLASS AC-HKD),8.687 HKD,33.42%,45.95%,HKD,1.465,184.51 (Million USD),3,3
HSBC GIF - HONG KONG EQUITY (CLASS AC-USD),174.726 USD,32.93%,45.95%,USD,1.465,184.51 (Million USD),3,3
NINETY ONE ALL CHINA EQUITY FUND (A-HKD-ACC),107.8 HKD,25.80%,45.24%,HKD,1.434,477.51 (Million USD),5,4
NINETY ONE ALL CHINA EQUITY FUND (A-USD-ACC),31.98 USD,25.26%,45.17%,USD,1.439,477.51 (Million USD),5,5
Schroder ISF China Opportunities (Class A-HKD-Accumulation),18.4505 HKD,27.63%,44.23%,HKD,1.18,1115.27 (Million USD),5,3
Schroder ISF China Opportunities (Class A-Accumulation),427.1892 USD,27.06%,44.11%,USD,1.178,1115.27 (Million USD),5,3
HSBC GIF - CHINESE EQUITY (CLASS AC-HKD),7.639 HKD,29.45%,42.09%,HKD,1.202,799.59 (Million USD),5,4
