Fund,1st,2nd,3rd,4th,5th
AB - AMERICAN INCOME PORTFOLIO (CLASS AT-NZDH-MDIST CASH),"United States
126.48%","Latin America
9.97%","United Kingdom
5.00%","Eurozone
4.60%","Asia - Emerging
3.09%"
AB - AMERICAN INCOME PORTFOLIO (CLASS AT-RMBH-MDIST CASH),"United States
126.48%","Latin America
9.97%","United Kingdom
5.00%","Eurozone
4.60%","Asia - Emerging
3.09%"
AB - American Income Portfolio (Class A2 - USD),"United States
126.48%","Latin America
9.97%","United Kingdom
5.00%","Eurozone
4.60%","Asia - Emerging
3.09%"
AB - American Income Portfolio (Class A2-EUR),"United States
126.48%","Latin America
9.97%","United Kingdom
5.00%","Eurozone
4.60%","Asia - Emerging
3.09%"
AB - American Income Portfolio (Class AT-AUD Hedged-MDIST Cash),"United States
126.48%","Latin America
9.97%","United Kingdom
5.00%","Eurozone
4.60%","Asia - Emerging
3.09%"
AB - American Income Portfolio (Class AT-CAD H-MDIST Cash),"United States
126.48%","Latin America
9.97%","United Kingdom
5.00%","Eurozone
4.60%","Asia - Emerging
3.09%"
AB - American Income Portfolio (Class AT-EUR Hedged-MDIST Cash),"United States
126.48%","Latin America
9.97%","United Kingdom
5.00%","Eurozone
4.60%","Asia - Emerging
3.09%"
AB - American Income Portfolio (Class AT-GBP H-MDIST Cash),"United States
126.48%","Latin America
9.97%","United Kingdom
5.00%","Eurozone
4.60%","Asia - Emerging
3.09%"
AB - American Income Portfolio (Class AT-HKD-MDIST Cash),"United States
126.48%","Latin America
9.97%","United Kingdom
5.00%","Eurozone
4.60%","Asia - Emerging
3.09%"
AB - American Income Portfolio (Class AT-SGD H-MDIST Cash),"United States
126.48%","Latin America
9.97%","United Kingdom
5.00%","Eurozone
4.60%","Asia - Emerging
3.09%"
